Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
1337248837593796609 2020-12-11 09:42:22 +0530 <indersandhu165> ਤੁਸੀਂ ਸਰਕਾਰ ਓਂ, ਤੁਹਾਡੇ ਕੋਲ ਹੰਕਾਰੀ ਮੰਤਰੀ, ਥਿੰਕ ਟੈਂਕ, ਮੀਡੀਆ, ਆਈਟੀ ਸੈੱਲ, ਪੁਲਿਸ ਪ੍ਰਸ਼ਾਸਨ, ਚਲਾਕ ਤੇ ਹਾਜ਼ਰ ਜੁਆਬ ਅਫਸਰ ਨੇ ਜਿਹੜੇ ਲੋਕਾਂ ਨੂੰ ਡਰਾ ਵੀ ਸਕਦੇ ਨੇ, ਧਮਕਾ ਵੀ ਸਕਦੇ ਨੇ, ਗੱਲਾਂ 'ਚ ਉਲਝਾ ਵੀ ਸਕਦੇ ਨੇ, ਪਰ ਸਾਡੇ ਕੋਲ !!!!! ਸਾਡੇ ਕੋਲ ਤਾਂ ਸਿਦਕ, ਸਬਰ, ਜੁਝਾਰੂਪੁਣਾ, #WeStandForFarmers ਪ
1337240999186219008 2020-12-11 09:11:13 +0530 <akhwinder_gill> Bilkul veere... Uh were right about this govt. 's evil intentions and was right that they are doing everything for their profit. #Westandforfarmers,,,,,,,,,,,,
1337237406697705475 2020-12-11 08:56:57 +0530 <Jagdeep41938168> Chakki chalo fateh punjabio.. . #westandforfarmers #standforfarmers #ShameonModiGovt,,,,,,,,,,,,
1337235799650103298 2020-12-11 08:50:33 +0530 <YaasminRandhaw1> #WeStandForFarmers,,,,,,,,,,,,
1337235532405870594 2020-12-11 08:49:30 +0530 <YaasminRandhaw1> #WeStandForFarmers Bitter truth,,,,,,,,,,,,
1337234866513924099 2020-12-11 08:46:51 +0530 <YaasminRandhaw1> #WeStandForFarmers,,,,,,,,,,,,
1337234756199612416 2020-12-11 08:46:25 +0530 <Pashmeenkaur20> #WeStandForFarmers,,,,,,,,,,,,
1337231002318467072 2020-12-11 08:31:30 +0530 <SarkariaMintu> #westandforfarmers  https://t.co/zWM9VjDabO,,,,,,,,,,,,
1337225787435433984 2020-12-11 08:10:46 +0530 <sbirgidda> why is modi acting like villian rudy julianni #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers #FarmerProtestdelhi2020,,,,,,,,,,,,
1337224975674081282 2020-12-11 08:07:33 +0530 <akhwinder_gill> #Westandforfarmers. Top te aa jaoga sadda eh trend ...iss baar bhi asi krvage end.  https://t.co/NXLlxboJsy,,,,,,,,,,,,
1337223282404179968 2020-12-11 08:00:49 +0530 <reet2005> We stand together. #WeStandForFarmers,,,,,,,,,,,,
1337161379422351360 2020-12-11 03:54:50 +0530 <tejpratapjuneja> #westandforfarmers #FarmersProstests #ModiYesOrNo  https://t.co/0HBvVuNbvX,,,,,,,,,,,,
1337137270642462720 2020-12-11 02:19:02 +0530 <IAmGobSmacked> United we stand! ✊🏽💚#TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1337136941024755712 2020-12-11 02:17:44 +0530 <IAmGobSmacked> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1337136659381415936 2020-12-11 02:16:37 +0530 <IAmGobSmacked> #StandWithFarmers  #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1337070936311263235 2020-12-10 21:55:27 +0530 <BaidwanAmarjit> We agree that Modi government just given MSP in written. But still, did not make a decision to make proper law for MSP. If, no laws then private players will take disadvantages of MSP. #Westandforfarmers,,,,,,,,,,
1337006836243820544 2020-12-10 17:40:44 +0530 <GrewalAmritjot> Largest protest of human history #FarmerProtest  #WeStandForFarmers,,,,,,,,,,,,
1336905396879908867 2020-12-10 10:57:39 +0530 <MushtaqAnsari80> @diljitdosanjh Ek din jhukna hi hai.....🚜  #WeStandForFarmers  https://t.co/oaENVLR4QC,,,,,,,,,,,,
1336855124501798915 2020-12-10 07:37:53 +0530 <asmeet_s> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers #tractor2twiter,,,,,,,,,,,,
1336851255071633409 2020-12-10 07:22:31 +0530 <AmanDeo73473959> @sharmaji_2019 @gogadhaliwal @jazzyb Bhosdike shingu border te aa k dekh tere fufad sarre aaye hoye ne up ,rajasthan ,haryana ,mp to . #farmerprotest #westandforfarmers,,,,,,,,,
1336609373167243264 2020-12-09 15:21:22 +0530 <Sandeep83255359> jaana bearath nyi jangiya #kisanlivesmatter #FarmersProstest  #westandforfarmers #NoFarmersNoFood  https://t.co/dU1HYaVnMr,,,,,,,,,,,,
1336606105045147648 2020-12-09 15:08:23 +0530 <navroop09707321> #KisaanMajdoorEktaJindabaad #westandforfarmers #FarmersProstests  https://t.co/nHe8ZA9mtH,,,,,,,,,,,,
1336601991565340673 2020-12-09 14:52:02 +0530 <LailRaman> New York City farmers protest #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1336585223929090048 2020-12-09 13:45:24 +0530 <tajinder_uppal> #दुष्यंत_किसान_या_कुर्सी #takebackfarmlaws #westandforfarmers,,,,,,,,,,,,
1336390700573872129 2020-12-09 00:52:26 +0530 <thebrowngiirl> Chandigarh, India.   A peacefully protest for farmers turned into a chaos by Police brutallity.    #westandforfarmers #farmers #Nofarmernofood  https://t.co/ihOEeVPIe7,,,,,,,,,,,
1336354913358581764 2020-12-08 22:30:14 +0530 <asmeet_s> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1336289153139548160 2020-12-08 18:08:55 +0530 <HarjotS20607168> York City farmers protest #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1336277835846180867 2020-12-08 17:23:57 +0530 <babbudosanjh84> New York City farmers protest #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #IamWithFarmers  https://t.co/HFJwW3tdsz,,,,,,,,,,,,
1336264129674276864 2020-12-08 16:29:29 +0530 <am_gurdevsingh> The KEY to BEING HAPPY is knowing you have the POWER to choose what to ACCEPT and what to let GO #daasfilms #daasstudios #clapstudioz #am_gurdevsingh #shukar_maalak_da #cameray_aale_sardar . #happy #love #blacklove #westandforfarmers #farmerprotest #wesupportfarmers #DilliChalo  https://t.co/TmldDgV3Im,,,,,,,,,,,,
1336188282544087042 2020-12-08 11:28:06 +0530 <Ishaan90250587> ...rice   and  and the government making us fool #BharatBandh #modiji #chamchaguruofmodi #westandforfarmers  thank you ...,,,,,,,,,,,,
1336144108679647232 2020-12-08 08:32:34 +0530 <Sekhon74778287> #8_December_Bharat_band #SupportFarmersProtest #westandforfarmers #Tractor2Twitter #BycottAdaniAmbani  https://t.co/F0oyIcQ5nZ,,,,,,,,,,,,
1336144096130297856 2020-12-08 08:32:31 +0530 <A_m_KSekhon> #8_December_Bharat_band #Tractor2Twitter #SupportFarmersProtest #BycottAdaniAmbani #westandforfarmers  https://t.co/B9sg3m9Vr9,,,,,,,,,,,,
1336138556360646657 2020-12-08 08:10:30 +0530 <Sbrar61712018> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers  https://t.co/kFn3GIg6oU,,,,,,,,,,,,
1336112329436618753 2020-12-08 06:26:17 +0530 <asmeet_s> 🙏🏽 #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1336108734695702528 2020-12-08 06:12:00 +0530 <gurmandeesh> #dillichalo #8दिसम्बर_भारत_बंद #TakeBackFarmersLaws #Tracter2twitter #westandforfarmers #KisanAandolan  #NoFarmersNoFood,,,,,,,,,,,,
1336062562870423552 2020-12-08 03:08:32 +0530 <sikhnews247> asmeet_s: New York City farmers protest #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers…  https://t.co/gNk5wWY6FG,,,,,,,,,,,,
1336059582779682817 2020-12-08 02:56:41 +0530 <asmeet_s> New York City farmers protest #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers  https://t.co/cWEmCQ7s9p,,,,,,,,,,,,
1335998184225693699 2020-12-07 22:52:43 +0530 <navjeetsinghh> @AmmyVirk #FarmersProtest #FarmersProtest #FarmersProtestDelhi2020 #ModiAgainstFarmers #westandforfarmers,,,,,,,,,,,,
1335997723028447235 2020-12-07 22:50:53 +0530 <navjeetsinghh> @SukshnderShinda #FarmersProtests #FarmersProtest #ModiAgainstFarmers #westandforfarmers,,,,,,,,,,,,
1335983272560533504 2020-12-07 21:53:28 +0530 <thandoraa___> #westandforfarmers #FarmersProtestHijacked #FarmerPolitics #FarmersWithPmModi #FarmersProtestDelhi2020   Do follow @thandoraaofficial in Instagram for more  https://t.co/bbjnQFjMDX,,,,,,,,,,,,
1335936486017888256 2020-12-07 18:47:33 +0530 <Sukhdev85473829> #isupportfarmers #SHAMEONMODIGOVERNMENT #IStandWithFarmers #takefarmersbillsback #westandforfarmers #supportfarmerprotest #isupportfarmerprotest #FarmerProtest2020 #DelhiFarmersProtest  https://t.co/ZG6t4P69Ma,,,,,,,,,,,,
"1335912343373373441 2020-12-07 17:11:37 +0530 <FoodsDarshan> Support Farmers!!!  "" We can't pay what they are for us but to be the part we can contribute.""  A contribution by Darshan Food.   #darshanfood #supportfarmers #westandforfarmers #rusk #darshanfood #delhirally #bharatband #bhujiawala #namkeen #bakenbite #yofun #sujitoast  https://t.co/Z7wikjMsUo",,,,,,,,,,,,
1335866015704436736 2020-12-07 14:07:31 +0530 <Baljind60984477> #westandforfarmers,,,,,,,,,,,,
1335780761052516352 2020-12-07 08:28:45 +0530 <jatti1593> #WeStandwithFarmers  #westandforfarmers  #punjabdelhichallenge  #,,,,,,,,,,,,
1335698800149671948 2020-12-07 03:03:04 +0530 <asmeet_s> A good breakdown on the Farmers Protest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1335633287885238273 2020-12-06 22:42:45 +0530 <asmeet_s> Some education #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1335596196744880129 2020-12-06 20:15:22 +0530 <navjeetsinghh> #ModiAgainstFarmers #FarmersPortest #westandforfarmers #GodiMediakisanvirodhi #GodiMediaGoBack  https://t.co/XkD2EtJsUl,,,,,,,,,,,,
1335534822723375104 2020-12-06 16:11:29 +0530 <DhaliwalMnprit> @KanganaTeam @KanganaTeam Tu kis ki paaltu ha . MODI Ki paaltu ha tu. Kitne paise diye tujha modi ne ja sbb krna k liye.Jis thaali ma khati ha osi ma shed krti ha. Bitch👎#westandforfarmers,,,,,,,,,,,,
1335524224379711488 2020-12-06 15:29:22 +0530 <sainairv> @jijoy_matt Farmers se shuru hoke  Union govt Jokers tak.... #Westandwithfarmers #Westandforfarmers We the people of India will fight for them  #Sanghiminority stay away.  https://t.co/lW0eySJ8ys,,,,,,,,,,,,
1335504927989239808 2020-12-06 14:12:41 +0530 <AmanDeo73473959>  https://t.co/1zM5DWMz6y @jassbajwa_  veere aa video bhejyo o payal rohtagi nu Jeri jada boldi c  kissana te Diljit barre  @amritamby1 @GippyGrewal @AmmyVirk  #farmerprotest #westandforfarmers,,,,,,,,,,,,
1335492087303696384 2020-12-06 13:21:40 +0530 <chinna_palepogu> Drop A Heart For Me :  🖤 : You Are Cute. ❤️ : You Are Awesome. 💛 : Favourite Person. 💜 : Good Personality. 💙 : Crush. 💚 : I Hate You.  💖 : Can We Be Friends. 💔 : I Don't Like You.  #SarkaaruVaariPaata  #westandforfarmers,,,,,,,,,,,,
1335455578106171392 2020-12-06 10:56:36 +0530 <Paramji52555859> #westandforfarmers  #farmerprotest #wesportfarmer  https://t.co/A8nlpyxAZ5,,,,,,,,,,,,
1335420348951498752 2020-12-06 08:36:36 +0530 <Rob08237223> @BlodeCorona @amarprasadreddy @KanganaTeam @diljitdosanjh Kangna toa main di ki kuttiya ha oor diljit Punjab ka share betta gand phad degga tumhari patta bhi nhi chalega #westandforfarmers #diljitlegend,,,,,,,,,,,,
1335289635879018496 2020-12-05 23:57:12 +0530 <am_gurdevsingh> #westandforfarmers #FarmerProtest #FarmerProtests #istandforfarmers #delhiprotest #DelhiChalo #DiljitDosanjh  https://t.co/l4yE2vbwNv,,,,,,,,,,,,
1335283336839753729 2020-12-05 23:32:10 +0530 <bdeepsamra> #westandforfarmers #kisanputter #KisanProtest #KisanSupportChallenge  https://t.co/FyclrdWnG5,,,,,,,,,,,,
1335244942394978307 2020-12-05 20:59:36 +0530 <ManjotK60099390> #westandforfarmers #farmersunion #Farmersupport #tractor2ਟਵਿਟਰ @diljitdosanjh @BawaRanjit,,,,,,,,,,,,
1335221796233154562 2020-12-05 19:27:38 +0530 <AmanDeo73473959> @beingarun28  ghanta ta jadd tere fasya na kaka fer purri Delhi ch sunnu bajda .te han fasna v ewe aa k tera modi daddy v ni kad sakda #farmer #farmerprotest #westandforfarmers  @jassbajwa_ @GippyGrewal @BawaRanjit @diljitdosanjh,,,,,,,,,,,,
1335191856020246528 2020-12-05 17:28:39 +0530 <Rupinde45905740> #westandforfarmers,,,,,,,,,,,,
1335084220042129409 2020-12-05 10:20:57 +0530 <Gagande54873144> #westandforfarmers #farmersupportchallenge #KissanEktaJindabad,,,,,,,,,,,,
1335073409433100289 2020-12-05 09:37:59 +0530 <ShubhaShamim> #WeStandForFarmers,,,,,,,,,,,,
1335052089387405313 2020-12-05 08:13:16 +0530 <AaqidK> #westandforfarmers #farmerprotest #WeSupportFarmers,,,,,,,,,,,,
1334909955313299456 2020-12-04 22:48:29 +0530 <Arshbir78121834> @techbuddyzz @AtulKumarBJP @KanganaTeam Ka be chutiye. Beard is sign of our gurus and our warriors. Agar hmare purvaj na hote toh tumhari bahu betiya take take pe ghazni k bazaro mein bikti. Kisi ka namak kha kar hram nai krte. #westandforfarmers,,,,,,,,,,,,
1334890269737672709 2020-12-04 21:30:16 +0530 <Azadwindersidh1> #westandforfarmers  #NOFARMERS  #NoFOOD  #NoFUTURE #💪💪💪,,,,,,,,,,,,
1334884221979041793 2020-12-04 21:06:14 +0530 <GuriMMusic1>  https://t.co/gtaSvmqLlu song is out now SINGER-GURI. M LYRICS : GURI.M &amp; AMRIT SAGGU KEEP SUPPORTING LIKE AND SUBSCRIBE MY CHANNEL SHARE WITH MORE PEOPLE #FARMERSBILL2020 #FARMERPROTEST #music #westandforfarmers,,,,,,,,,,,,
1334882400388534273 2020-12-04 20:58:59 +0530 <GuriMMusic1>  https://t.co/gtaSvmqLlu song is out now SINGER-GURI. M LYRICS : GURI.M &amp; AMRIT SAGGU KEEP SUPPORTING LIKE AND SUBSCRIBE MY CHANNEL SHARE WITH MORE PEOPLE #FARMERSBILL2020 #FARMERPROTEST #music #westandforfarmers,,,,,,,,,,,,
1334876799361110016 2020-12-04 20:36:44 +0530 <Banisha2197> #KisanMajdoorEktaZindabaad #westandforfarmers #Tractor2Twitter  https://t.co/NQyfoBUulh,,,,,,,,,,,,
1334864266038444037 2020-12-04 19:46:56 +0530 <Simmusahota3> #westandforfarmers #SaveFarmersFromModi #NoFarmersNoFood,,,,,,,,,,,,
1334862666431524864 2020-12-04 19:40:34 +0530 <SahibSinghBal1> #westandforfarmers  https://t.co/qt5TRq6dGm,,,,,,,,,,,,
1334858873878970370 2020-12-04 19:25:30 +0530 <gurgohlron> Amul: The taste of India  Babool: The paste of India  Kangana: The waste of India  @Diljitdosaanjh   #FarmBill2020  #bycott_kangana_ranaut_challenge  #FarmerProtests2020 #Isportfarmers  #westandforfarmers,,,,,,,,,,,,
1334857069162242048 2020-12-04 19:18:20 +0530 <HarmanpreeK> Tweet more  #FarmersProtest  #Farmersprotestschallenge  #TractorToTwitter  #takefarmlawsback  #istandforfarmers #westandforfarmers  #justuceforfarmers @pangealla @diljitdosanjh @GippyGrewal @ParmishVerma  We shouldn't focus on distracting people.,,,,,,,,,,,,
1334853754303119361 2020-12-04 19:05:10 +0530 <shreyashswami71> @KanganaTeam Chal hat behn ki lodi bc mumbai mein jo huva vo toh boht he acha huva aab toh tu politics ke support ke wajhse didi itna udd rahi ho jab ya haath nikal denge na phir twitter pe twitte krna inke upar ha pagal bhak #JaiMaharashtra  #westandforfarmers #DiljitDestroysKangana,,,,,,,,,,,,
1334825060184580097 2020-12-04 17:11:08 +0530 <Rupinde96998823> #westandforfarmers @KanganaTeam ਆਟੇ ਵਾਂਗੂੰ ਗੁੰਨ ਤੀ ਬੇਗਾਨੇ ਪੁੱਤa ਨੇ,  Burrrrrrrrraaaaaaah👌🏼👌🏼👌🏼👌🏼👌🏼@diljitdosanjh @AmmyVirk @BawaRanjit  https://t.co/regO0rip90,,,,,,,,,,,
1334819621908717569 2020-12-04 16:49:32 +0530 <HappySi05648606> #westandforfarmers,,,,,,,,,,,,
1334811936622485504 2020-12-04 16:18:59 +0530 <HitanshJain30> Jitna bhi digital Bharat hojae, Roti Google se download nhi hogi🙌🏻 Read that again!  #WeSupportFarmers #westandforfarmers,,,,,,,,,,,
1334809025259601920 2020-12-04 16:07:25 +0530 <har_singh8> #westandforfarmers #supportfarmerprotest #jaikissan,,,,,,,,,,,,
1334802583962075137 2020-12-04 15:41:50 +0530 <13_jashan> #Farmers #FarmerProtests #NoFarmersNoFood #ISuportFarmerprotest #westandforfarmers  @narendramodi  https://t.co/rwJetemn43,,,,,,,,,,,,
1334801764940300289 2020-12-04 15:38:34 +0530 <Jot_behniwal> ਅਸੀਂ ਵਖ਼ਤ ਪਾ ਦਿਆਂਗੇ ਜ਼ਾਲਿਮ ਸਰਕਾਰਾਂ ਨੂੰ.. #FarmerProtests2020 #westandforfarmers #wesupportfarmer #tracktor2twitter  https://t.co/sCFo8FwUx6,,,,,,,,,,,,
1334801260067704833 2020-12-04 15:36:34 +0530 <Gurpree82673717> #westandforfarmers,,,,,,,,,,,,
1334800580003287041 2020-12-04 15:33:52 +0530 <Inder_5911> @shiviii_03 dustbin much pretty of against kangana 😂😂🤣               It's my opinion 🤨 #westandforfarmers  #Punjab 💪🦾,,,,,,,,,,,,
1334789062524190720 2020-12-04 14:48:06 +0530 <muhammad_abheel> #KisanKiBaat #westandforfarmers #KanganaVsDiljit  https://t.co/AEBTcAJqyI,,,,,,,,,,,,
1334789050931134464 2020-12-04 14:48:03 +0530 <1618Azmi> #kisanektazindabad #KisanMajdoorEktaZindabad #westandforfarmers #FarmersProtest,,,,,,,,,,,,
1334786973647527937 2020-12-04 14:39:48 +0530 <har_singh8> #westandforfarmers,,,,,,,,,,,,
1334786269319086080 2020-12-04 14:37:00 +0530 <jatindet10> #westandforfarmers,,,,,,,,,,,,
1334786049034178561 2020-12-04 14:36:07 +0530 <har_singh8> #westandforfarmers #supportfarmers,,,,,,,,,,,,
1334785977194180609 2020-12-04 14:35:50 +0530 <jatindet10> #westandforfarmers farmers,,,,,,,,,,,,
1334785407230177284 2020-12-04 14:33:34 +0530 <karan_dhothar> #KisaanmazdoorEktaZindabaad #westandforfarmers #Tractertotwitter #NoCheapPolitics #NoCastism  https://t.co/i3Ps9VVl3b,,,,,,,,,,,,
1334783845296558080 2020-12-04 14:27:22 +0530 <RanchanShubham> @JJassiOfficial yeh farzi queen @KanganaTeam ab apni asli aukaat par aayi.. jab kise se lda nhi jaata tab maidaan chhodkr bhaagna sahi samjha usne.. ise koi samjhao k asli raaniyon k kaam nhi hain yeh #UnitedWeStand  #westandforfarmers  #Tractor2Twitter,,,,,,,,,,,,
1334782329663864832 2020-12-04 14:21:21 +0530 <LadduMotto> #FarmerProtestHijacked #FarmersBill_2020 #westandforfarmers #KisanMajdoorEktaZindabaad  @iamdeepsidhu @jassbajwa_ @diljitdosanjh @AmmyVirk #shameonyoukangana modi di 🥄🖕🖕🖕🖕  https://t.co/8sGpmvTfHK,,,,,,,,,,,,
1334778665415012352 2020-12-04 14:06:47 +0530 <Ashishaaruu> #westandforfarmers #WeSupportFarmers #protestfarmer  https://t.co/cnT1dMxizu,,,,,,,,,,,,
1334776921482256387 2020-12-04 13:59:51 +0530 <jyotikaur28> Hahahaha 🤣 #westandforfarmers #KissanEktaJindabad,,,,,,,,,,,,
1334760979712909313 2020-12-04 12:56:30 +0530 <Jaswind23596095> #westandforfarmers #FarmerProtest  #wesupportfarmer #FarmerProtestDelhi2020  #farmerprotestdelhi  https://t.co/5WXKF6bQ5U,,,,,,,,,,,,
1334748301959127042 2020-12-04 12:06:08 +0530 <jessii09__> Is auraut ch akal naam di chiz nhi hai Te eh preshan hai desh nu leke...je Teri maa nu koi ive khe fer...jad Teri ik adhi kand tuti c ta tu sara desh sir te chk leya c ta hun tu ki kehni asi apde hka lyi v na ladhiya..@KanganaTeam mat un hath mar dar us rab to! #westandforfarmers,,,,,,,,,,,,
1334743905678417921 2020-12-04 11:48:40 +0530 <RAVJOTS60590352> @diljitdosanjh @KanganaTeam #westandforfarmers,,,,,,,,,,,,
1334726776677916674 2020-12-04 10:40:36 +0530 <khushkaur26> #supportfarmers #Tractor2Twitter #westandforfarmers #farmersprotest #FarmersAreLifeLine #5दिसंबर_भारत_बंद  https://t.co/lFLlNWNMuP,,,,,,,,,,,,
1334724904051150849 2020-12-04 10:33:09 +0530 <khushkaur26> Bhukhi fame di....kangana bhukhi fame di....uhi uhi kangana bhukhi aw 😆😆@KanganaTeam #westandforfarmers #Tractor2Twitter #SupportFarmersProtest,,,,,,,,,,,,
1334724176972746753 2020-12-04 10:30:16 +0530 <BhinderBajwa> #westandforfarmers  #farmersprotest  #WeSupportFarmers  #nofarmersnofood,,,,,,,,,,,,
1334723726793830400 2020-12-04 10:28:29 +0530 <JassSid80639941> @KanganaTeam @diljitdosanjh  siraaa lata vr eh duki tiki kithe rok lu jatt nu #supportforfarmers #westandforfarmers  https://t.co/8mbIyybRSX,,,,,,,,,,,,
1334703151723630594 2020-12-04 09:06:43 +0530 <6RS6CvejrjpHSnb> #westandforfarmers,,,,,,,,,,,,
1334701526292418560 2020-12-04 09:00:16 +0530 <HarshSh38740702> #westandforfarmers,,,,,,,,,,,,
1334601620320096256 2020-12-04 02:23:16 +0530 <asmeet_s> Your low plan will not work(3/3) #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers #IamWithFarmers  #FarmersProtest  #standwithfarmerschallenge,,,,,,,,,,,,
1334553667727450115 2020-12-03 23:12:43 +0530 <MohitKa79210643> #westandforfarmers #FarmersProtestChallenge  #farmersunionzindabad #inqlabzindabad,,,,,,,,,,,,
1334493070935592960 2020-12-03 19:11:56 +0530 <asmeet_s> #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest  #westandforfarmers,,,,,,,,,,,,
1334489550886821889 2020-12-03 18:57:57 +0530 <ArshDhinjan> इस सादगी पे कौन न मर जाए ऐ ख़ुदा लड़ते हैं और हाथ में तलवार भी नहीं । ~ मिर्ज़ा ग़ालिब . #westandforfarmers  #Tractor2ਟਵਿੱਟਰ #JusticeForFarmers #KisanEktaZindaabaad  https://t.co/RBJUby5pXN,,,,,,,,,,,,
1334470026305314818 2020-12-03 17:40:22 +0530 <mehmi_varinder> @diljitdosanjh veere ehna vaah ni peya halle punjab aaleya nal dhonn te godda rakhna pena aa ehna de #farmerprotest #westandforfarmers #DiljitDosanjh,,,,,,,,,,,,
1334462595407863808 2020-12-03 17:10:50 +0530 <IamSimran_Gill> She utters Nonsense whenever she speaks  #mattBaksheTainu #westandforfarmers #FarmersProtest2020 #farmers #KisanMajdoorEktaZindabaad,,,,,,,,,,,,
1334447229336080384 2020-12-03 16:09:46 +0530 <AmanDeo73473959> #farmerprotest #westandforfarmers  @diljitdosanjh @jassbajwa_ @taapsee @TarsemJassar_  https://t.co/iYymbtZeE2,,,,,,,,,,,,
1334375594386132992 2020-12-03 11:25:07 +0530 <Harmanp07175223> Shame on godi media . Godi media never cast the reality of ground zero. But we fight together #westandforfarmers#farmersagitation  https://t.co/E8wcYQHq2R,,,,,,,,,,,,
1334366214387167234 2020-12-03 10:47:51 +0530 <HarmanpreeK> #Respect @KanganaTeam U need Psychiatrist and Eye Specialist. Get well soon! #FarmersProtest  #FarmersProtestChallenge  #Tractor2Twitter  #SpeakUpForFarmer  #westandforfarmers,,,,,,,,,,,,
1334167664327966723 2020-12-02 21:38:53 +0530 <myselfmeeet> @neet__gill Modi ਢੂਆ mraave kisaana lyi ardas waheguru agge malak fateh bakshe delhi jitt jitt shaddi hun v jitt ke pra sitt deni #KisaanMajdoorEktaZindabad #westandforfarmers #FarmersProtests #farmarprotest #TractorToTwitter,,,,,,,,,,,,
1334156313920643072 2020-12-02 20:53:47 +0530 <Navpreet_18> #westandforfarmers,,,,,,,,,,,,
